City_ID,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,32.74,71,99,40.91,TF,1719668397
1,puerto ayora,-0.7393,-90.3518,70.56,98,59,8.32,EC,1719668397
2,alofi,-19.0595,-169.9187,75.09,94,75,0.0,NU,1719668397
3,college,64.8569,-147.8028,59.9,77,100,3.44,US,1719668397
4,iskateley,67.6803,53.1512,51.46,93,100,8.57,RU,1719668397
5,imbituba,-28.24,-48.6703,62.85,60,99,11.77,BR,1719668397
6,coquimbo,-29.9533,-71.3436,51.53,100,100,3.44,CL,1719668398
7,ribeira grande,38.5167,-28.7,75.6,73,75,11.99,PT,1719668398
8,taulaga,-11.0553,-171.0883,83.21,75,46,18.23,AS,1719668398
9,ilulissat,69.2167,-51.1,41.02,87,75,11.5,GL,1719668398
10,aasiaat,68.7098,-52.8699,36.27,90,100,11.34,GL,1719668398
11,edinburgh of the seven seas,-37.0676,-12.3116,57.97,85,90,13.38,SH,1719668398
12,junin de los andes,-39.9504,-71.0694,32.95,71,98,2.68,AR,1719668398
13,madinat ash shamal,26.1293,51.2009,95.49,48,92,11.77,QA,1719668398
14,kalmunai,7.4167,81.8167,85.82,71,88,13.62,LK,1719668398
15,bredasdorp,-34.5322,20.0403,69.49,48,100,13.89,ZA,1719668399
16,yellowknife,62.456,-114.3525,59.41,70,40,9.22,CA,1719668399
17,ushuaia,-54.8,-68.3,28.06,86,40,1.14,AR,1719668399
18,wailua homesteads,22.0669,-159.378,74.19,89,40,11.5,US,1719668399
19,bolivar,37.6145,-93.4105,73.13,79,65,11.95,US,1719668399
20,port pirie,-33.1833,138.0167,50.76,81,96,10.04,AU,1719668399
21,tiksi,71.6872,128.8694,59.72,43,2,13.06,RU,1719668399
22,thompson,55.7435,-97.8558,50.16,76,75,3.44,CA,1719668399
23,adamstown,-25.066,-130.1015,67.19,59,99,26.13,PN,1719668399
24,mount gambier,-37.8333,140.7667,48.96,60,100,7.99,AU,1719668400
25,albany,42.6001,-73.9662,61.95,79,100,7.18,US,1719668400
26,grytviken,-54.2811,-36.5092,31.93,95,100,4.74,GS,1719668400
27,lihue,21.9789,-159.3672,74.79,86,40,11.5,US,1719668350
28,olonkinbyen,70.9221,-8.7187,35.38,95,100,7.34,SJ,1719668400
29,waitangi,-43.9535,-176.5597,48.81,70,31,6.58,NZ,1719668400
30,ust-nera,64.5667,143.2,49.78,78,100,4.5,RU,1719668400
31,ranchettes,41.2186,-104.7903,55.29,61,0,9.22,US,1719668400
32,namibe,-15.1961,12.1522,74.93,57,1,8.39,AO,1719668400
33,puerto natales,-51.7236,-72.4875,25.25,86,75,5.75,CL,1719668401
34,kodiak,57.79,-152.4072,47.71,93,100,6.91,US,1719668401
35,lebu,-37.6167,-73.65,46.31,64,90,5.37,CL,1719668401
36,hawaiian paradise park,19.5933,-154.9731,71.11,96,75,3.44,US,1719668401
37,punta arenas,-53.15,-70.9167,19.51,93,40,2.3,CL,1719668401
38,bethel,41.3712,-73.414,68.36,81,100,11.5,US,1719668401
39,blackmans bay,-43.0167,147.3167,44.73,78,90,1.99,AU,1719668401
40,arraial do cabo,-22.9661,-42.0278,82.36,78,20,6.91,BR,1719668401
41,kourou,5.1552,-52.6478,89.65,61,82,5.44,GF,1719668402
42,businga,3.3333,20.8833,84.42,58,84,4.65,CD,1719668402
43,kashima-shi,35.9654,140.6447,69.89,91,42,4.9,JP,1719668402
44,merizo village,13.2658,144.6691,82.13,92,12,12.15,GU,1719668402
45,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,88,75,2.24,RU,1719668402
46,chonchi,-42.6128,-73.8092,42.12,91,100,3.18,CL,1719668402
47,isafjordur,66.0755,-23.124,42.84,87,40,12.66,IS,1719668403
48,stanley,54.868,-1.6985,59.72,72,75,9.22,GB,1719668403
49,bilibino,68.0546,166.4372,55.26,74,100,4.09,RU,1719668403
50,hasaki,35.7333,140.8333,70.29,91,45,6.78,JP,1719668403
51,talnakh,69.4865,88.3972,44.58,69,100,13.06,RU,1719668403
